"No1","No2"
265,2060
266,2061
266,2062
266,2063
266,2064
267,2065
267,2066
267,2067
267,2068
268,2069
268,2070
268,2071
268,2072
269,2073
269,2074
269,2075
269,2076
270,2077
270,2078
270,2079
270,2080
271,2081
271,2082
271,2083
271,2084
272,2085
272,2086
272,2087
272,2088
273,2089
273,2090
273,2091
273,2092
274,2093
274,2094
274,2095
274,2096
275,2097
275,2098
275,2099
275,2100
276,2101
276,2102
276,2103
276,2104
277,2105
277,2106
277,2107
277,2108
278,2109
278,2110
278,2111
278,2112
279,2113
279,2114
279,2115
279,2116
280,2117
280,2118
280,2119
280,2120
281,2121
281,2122
281,2123
281,2124
282,2125
282,2126
282,2127
282,2128
283,2129
283,2130
283,2131
283,2132
284,2133
284,2134
284,2135
284,2136
285,2137
285,2138
285,2139
285,2140
286,2141
286,2142
286,2143
286,2144
287,2145
287,2146
287,2147
287,2148
288,2149
288,2150
288,2151
288,2152
289,2153
289,2154
289,2155
289,2156
290,2157
290,2158
290,2159
290,2160
291,2161
291,2162
291,2163
291,2164
292,2165
292,2166
292,2167
292,2168
293,2169
293,2170
293,2171
293,2172
294,2173
294,2174
294,2175
294,2176
295,2177
295,2178
295,2179
295,2180
296,2181
296,2182
296,2183
296,2184
297,2185
297,2186
297,2187
297,2188
298,2189
298,2190
298,2191
298,2192
299,2193
299,2194
299,2195
299,2196
300,2197
300,2198
300,2199
300,2200
301,2201
301,2202
301,2203
301,2204
302,2205
302,2206
302,2207
302,2208
303,2209
303,2210
303,2211
303,2212
304,2213
304,2214
304,2215
304,2216
305,2217
305,2218
305,2219
305,2220
306,2221
306,2222
306,2223
306,2224
307,2225
307,2226
307,2227
307,2228
308,2229
308,2230
308,2231
308,2232
309,2233
309,2234
309,2235
309,2236
310,2237
310,2238
310,2239
310,2240
311,2241
311,2242
311,2243
311,2244
312,2245
312,2246
312,2247
312,2248
313,2249
313,2250
313,2251
313,2252
314,2253
314,2254
314,2255
314,2256
315,2257
315,2258
315,2259
315,2260
316,2261
316,2262
316,2263
316,2264
317,2265
317,2266
317,2267
317,2268
318,2269
318,2270
318,2271
318,2272
319,2273
319,2274
319,2275
319,2276
320,2277
320,2278
320,2279
320,2280
321,2281
321,2282
321,2283
321,2284
322,2285
322,2286
322,2287
322,2288
323,2289
323,2290
323,2291
323,2292
324,2293
324,2294
324,2295
324,2296
325,2297
325,2298
325,2299
325,2300
326,2301
326,2302
326,2303
326,2304
327,2305
327,2306
327,2307
327,2308
328,2309
328,2310
328,2311
328,2312
329,2313
329,2314
329,2315
329,2316
330,2317
330,2318
330,2319
330,2320
331,2321
331,2322
331,2323
331,2324
332,2325
332,2326
332,2327
332,2328
333,2329
333,2330
333,2331
333,2332
334,2333
334,2334
334,2335
334,2336
335,2337
335,2338
335,2339
335,2340
336,2341
336,2342
336,2343
336,2344
337,2345
337,2346
337,2347
337,2348
338,2349
338,2350
338,2351
338,2352
339,2353
339,2354
339,2355
339,2356
340,2357
340,2358
340,2359
340,2360
341,2361
341,2362
341,2363
341,2364
342,2365
342,2366
342,2367
342,2368
343,2369
343,2370
343,2371
343,2372
344,2373
344,2374
344,2375
344,2376
345,2377
345,2378
345,2379
345,2380
346,2381
346,2382
346,2383
346,2384
347,2385
347,2386
347,2387
347,2388
348,2389
348,2390
348,2391
348,2392
349,2393
349,2394
349,2395
349,2396
350,2397
350,2398
350,2399
350,2400
351,2401
351,2402
351,2403
351,2404
352,2405
352,2406
352,2407
352,2408
353,2409
353,2410
353,2411
353,2412
354,2413
354,2414
354,2415
354,2416
355,2417
355,2418
355,2419
355,2420
356,2421
356,2422
356,2423
356,2424
357,2425
357,2426
357,2427
357,2428
358,2429
358,2430
358,2431
358,2432
359,2433
359,2434
359,2435
359,2436
360,2437
360,2438
360,2439
360,2440
361,2441
361,2442
361,2443
361,2444
362,2445
362,2446
362,2447
362,2448
363,2449
363,2450
363,2451
363,2452
364,2453
364,2454
364,2455
364,2456
365,2457
365,2458
365,2459
365,2460
366,2461
366,2462
366,2463
366,2464
367,2465
367,2466
367,2467
367,2468
368,2469
368,2470
368,2471
368,2472
369,2473
369,2474
369,2475
369,2476
370,2477
370,2478
370,2479
370,2480
371,2481
371,2482
371,2483
371,2484
372,2485
372,2486
372,2487
372,2488
373,2489
373,2490
373,2491
373,2492
374,2493
374,2494
374,2495
374,2496
375,2497
375,2498
375,2499
375,2500
376,2501
376,2502
376,2503
376,2504
377,2505
377,2506
377,2507
377,2508
378,2509
378,2510
378,2511
378,2512
379,2513
379,2514
379,2515
379,2516
380,2517
380,2518
380,2519
380,2520
381,2521
381,2522
381,2523
381,2524
382,2525
382,2526
382,2527
382,2528
383,2529
383,2530
383,2531
383,2532
384,2533
384,2534
384,2535
384,2536
385,2537
385,2538
385,2539
385,2540
386,2541
386,2542
386,2543
386,2544
387,2545
387,2546
387,2547
387,2548
388,2549
388,2550
388,2551
388,2552
389,2553
389,2554
389,2555
389,2556
390,2557
390,2558
390,2559
390,2560
391,2561
391,2562
391,2563
391,2564
392,2565
392,2566
392,2567
392,2568
393,2569
393,2570
393,2571
393,2572
394,2573
394,2574
394,2575
394,2576
395,2577
395,2578
395,2579
395,2580
396,2581
396,2582
396,2583
396,2584
397,2585
397,2586
397,2587
397,2588
398,2589
398,2590
398,2591
398,2592
399,2593
399,2594
399,2595
399,2596
400,2597
400,2598
400,2599
400,2600
401,2601
401,2602
401,2603
401,2604
402,2605
402,2606
402,2607
402,2608
403,2609
403,2610
403,2611
403,2612
404,2613
404,2614
404,2615
404,2616
405,2617
405,2618
405,2619
405,2620
406,2621
406,2622
406,2623
406,2624
407,2625
407,2626
407,2627
407,2628
408,2629
408,2630
408,2631
408,2632
409,2633
409,2634
409,2635
409,2636
410,2637
410,2638
410,2639
410,2640
411,2641
411,2642
411,2643
411,2644
412,2645
412,2646
412,2647
412,2648
413,2649
413,2650
413,2651
413,2652
414,2653
414,2654
414,2655
414,2656
415,2657
415,2658
415,2659
415,2660
416,2661
416,2662
416,2663
416,2664
417,2665
417,2666
417,2667
417,2668
418,2669
418,2670
418,2671
418,2672
419,2673
419,2674
419,2675
419,2676
420,2677
420,2678
420,2679
420,2680
421,2681
421,2682
421,2683
421,2684
422,2685
422,2686
422,2687
422,2688
423,2689
423,2690
423,2691
423,2692
424,2693
424,2694
424,2695
424,2696
425,2697
425,2698
425,2699
425,2700
426,2701
426,2702
426,2703
426,2704
427,2705
427,2706
427,2707
427,2708
428,2709
428,2710
428,2711
428,2712
429,2713
429,2714
429,2715
429,2716
430,2717
430,2718
430,2719
430,2720
431,2721
431,2722
431,2723
431,2724
432,2725
432,2726
432,2727
432,2728
433,2729
433,2730
433,2731
433,2732
434,2733
434,2734
434,2735
434,2736
435,2737
435,2738
435,2739
435,2740
436,2741
436,2742
436,2743
436,2744
437,2745
437,2746
437,2747
437,2748
438,2749
438,2750
438,2751
438,2752
439,2753
439,2754
439,2755
439,2756
440,2757
440,2758
440,2759
440,2760
441,2761
441,2762
441,2763
441,2764
442,2765
442,2766
442,2767
442,2768
443,2769
443,2770
443,2771
443,2772
444,2773
444,2774
444,2775
444,2776
445,2777
445,2778
445,2779
445,2780
446,2781
446,2782
446,2783
446,2784
447,2785
447,2786
447,2787
447,2788
448,2789
448,2790
448,2791
448,2792
449,2793
449,2794
449,2795
449,2796
450,2797
450,2798
450,2799
450,2800
451,2801
451,2802
451,2803
451,2804
452,2805
452,2806
452,2807
452,2808
453,2809
453,2810
453,2811
453,2812
454,2813
454,2814
454,2815
454,2816
455,2817
455,2818
455,2819
455,2820
456,2821
456,2822
456,2823
456,2824
457,2825
457,2826
457,2827
457,2828
458,2829
458,2830
458,2831
458,2832
459,2833
459,2834
459,2835
459,2836
460,2837
460,2838
460,2839
460,2840
461,2841
461,2842
461,2843
461,2844
462,2845
462,2846
462,2847
462,2848
463,2849
463,2850
463,2851
463,2852
464,2853
464,2854
464,2855
464,2856
465,2857
465,2858
465,2859
465,2860
466,2861
466,2862
466,2863
466,2864
467,2865
467,2866
467,2867
467,2868
468,2869
468,2870
468,2871
468,2872
469,2873
469,2874
469,2875
469,2876
470,2877
470,2878
470,2879
470,2880
471,2881
471,2882
471,2883
471,2884
472,2885
472,2886
472,2887
472,2888
473,2889
473,2890
473,2891
473,2892
474,2893
474,2894
474,2895
474,2896
475,2897
475,2898
475,2899
475,2900
476,2901
476,2902
476,2903
476,2904
477,2905
477,2906
477,2907
477,2908
478,2909
478,2910
478,2911
478,2912
479,2913
479,2914
479,2915
479,2916
480,2917
480,2918
480,2919
480,2920
481,2921
481,2922
481,2923
481,2924
482,2925
482,2926
482,2927
482,2928
483,2929
483,2930
483,2931
483,2932
484,2933
484,2934
484,2935
484,2936
485,2937
485,2938
485,2939
485,2940
486,2941
486,2942
486,2943
486,2944
487,2945
487,2946
487,2947
487,2948
488,2949
488,2950
488,2951
488,2952
489,2953
489,2954
489,2955
489,2956
490,2957
490,2958
490,2959
490,2960
491,2961
491,2962
491,2963
491,2964
492,2965
492,2966
492,2967
492,2968
493,2969
493,2970
493,2971
493,2972
494,2973
494,2974
494,2975
494,2976
495,2977
495,2978
495,2979
495,2980
496,2981
496,2982
496,2983
496,2984
497,2985
497,2986
497,2987
497,2988
498,2989
498,2990
498,2991
498,2992
499,2993
499,2994
499,2995
499,2996
500,2997
500,2998
500,2999
500,3000
501,3001
501,3002
501,3003
501,3004
502,3005
502,3006
502,3007
502,3008
503,3009
503,3010
503,3011
503,3012
504,3013
504,3014
504,3015
504,3016
505,3017
505,3018
505,3019
505,3020
506,3021
506,3022
506,3023
506,3024
507,3025
507,3026
507,3027
507,3028
508,3029
508,3030
508,3031
508,3032
509,3033
509,3034
509,3035
509,3036
510,3037
510,3038
510,3039
510,3040
511,3041
511,3042
511,3043
511,3044
512,3045
512,3046
512,3047
512,3048
513,3049
513,3050
513,3051
513,3052
514,3053
514,3054
514,3055
514,3056
515,3057
515,3058
515,3059
515,3060
516,3061
516,3062
516,3063
516,3064
517,3065
517,3066
517,3067
517,3068
518,3069
518,3070
518,3071
518,3072
519,3073
519,3074
519,3075
519,3076
520,3077
520,3078
520,3079
520,3080
521,3081
521,3082
521,3083
521,3084
522,3085
522,3086
522,3087
522,3088
523,3089
523,3090
523,3091
523,3092
524,3093
524,3094
524,3095
524,3096
525,3097
525,3098
525,3099
525,3100
526,3101
526,3102
526,3103
526,3104
527,3105
527,3106
527,3107
527,3108
528,3109
528,3110
528,3111
528,3112
529,3113
529,3114
529,3115
529,3116
530,3117
530,3118
530,3119
530,3120
531,3121
531,3122
531,3123
531,3124
532,3125
532,3126
532,3127
532,3128
533,3129
533,3130
533,3131
533,3132
534,3133
534,3134
534,3135
534,3136
535,3137
535,3138
535,3139
535,3140
536,3141
536,3142
536,3143
536,3144
537,3145
537,3146
537,3147
537,3148
538,3149
538,3150
538,3151
538,3152
539,3153
539,3154
539,3155
539,3156
540,3157
540,3158
540,3159
540,3160
541,3161
541,3162
541,3163
541,3164
542,3165
542,3166
542,3167
542,3168
543,3169
543,3170
543,3171
543,3172
544,3173
544,3174
544,3175
544,3176
545,3177
545,3178
545,3179
545,3180
546,3181
546,3182
546,3183
546,3184
547,3185
547,3186
547,3187
547,3188
548,3189
548,3190
548,3191
548,3192
549,3193
549,3194
549,3195
549,3196
550,3197
550,3198
550,3199
550,3200
551,3201
551,3202
551,3203
551,3204
552,3205
552,3206
552,3207
552,3208
553,3209
553,3210
553,3211
553,3212
554,3213
554,3214
554,3215
554,3216
555,3217
555,3218
555,3219
555,3220
556,3221
556,3222
556,3223
556,3224
557,3225
557,3226
557,3227
557,3228
558,3229
558,3230
558,3231
558,3232
559,3233
559,3234
559,3235
559,3236
560,3237
560,3238
560,3239
560,3240
561,3241
561,3242
561,3243
561,3244
562,3245
562,3246
562,3247
562,3248
563,3249
563,3250
563,3251
563,3252
564,3253
564,3254
564,3255
564,3256
565,3257
565,3258
565,3259
565,3260
566,3261
566,3262
566,3263
566,3264
567,3265
567,3266
567,3267
567,3268
568,3269
568,3270
568,3271
568,3272
569,3273
569,3274
569,3275
569,3276
570,3277
570,3278
570,3279
570,3280
571,3281
571,3282
571,3283
571,3284
572,3285
572,3286
572,3287
572,3288
573,3289
573,3290
573,3291
573,3292
574,3293
574,3294
574,3295
574,3296
575,3297
575,3298
575,3299
575,3300
576,3301
576,3302
576,3303
576,3304
577,3305
577,3306
577,3307
577,3308
578,3309
578,3310
578,3311
578,3312
579,3313
579,3314
579,3315
579,3316
580,3317
580,3318
580,3319
580,3320
581,3321
581,3322
581,3323
581,3324
582,3325
582,3326
582,3327
582,3328
583,3329
583,3330
583,3331
583,3332
584,3333
584,3334
584,3335
584,3336
585,3337
585,3338
585,3339
585,3340
586,3341
586,3342
586,3343
586,3344
587,3345
587,3346
587,3347
587,3348
588,3349
588,3350
588,3351
588,3352
589,3353
589,3354
589,3355
589,3356
590,3357
590,3358
590,3359
590,3360
591,3361
591,3362
591,3363
591,3364
592,3365
592,3366
592,3367
592,3368
593,3369
593,3370
593,3371
593,3372
594,3373
594,3374
594,3375
594,3376
595,3377
595,3378
595,3379
595,3380
596,3381
596,3382
596,3383
596,3384
597,3385
597,3386
597,3387
597,3388
598,3389
598,3390
598,3391
598,3392
599,3393
599,3394
599,3395
599,3396
600,3397
600,3398
600,3399
600,3400
601,3401
601,3402
601,3403
601,3404
602,3405
602,3406
602,3407
602,3408
603,3409
603,3410
603,3411
603,3412
604,3413
604,3414
604,3415
604,3416
605,3417
605,3418
605,3419
605,3420
606,3421
606,3422
606,3423
606,3424
607,3425
607,3426
607,3427
607,3428
608,3429
608,3430
608,3431
608,3432
609,3433
609,3434
609,3435
609,3436
610,3437
610,3438
610,3439
610,3440
611,3441
611,3442
611,3443
611,3444
612,3445
612,3446
612,3447
612,3448
613,3449
613,3450
613,3451
613,3452
614,3453
614,3454
614,3455
614,3456
615,3457
615,3458
615,3459
615,3460
616,3461
616,3462
616,3463
616,3464
617,3465
617,3466
617,3467
617,3468
618,3469
618,3470
618,3471
618,3472
619,3473
619,3474
619,3475
619,3476
620,3477
620,3478
620,3479
620,3480
621,3481
621,3482
621,3483
621,3484
622,3485
622,3486
622,3487
622,3488
623,3489
623,3490
623,3491
623,3492
624,3493
624,3494
624,3495
624,3496
625,3497
625,3498
625,3499
625,3500
626,3501
626,3502
626,3503
626,3504
627,3505
627,3506
627,3507
627,3508
628,3509
628,3510
628,3511
628,3512
629,3513
629,3514
629,3515
629,3516
630,3517
630,3518
630,3519
630,3520
631,3521
631,3522
631,3523
631,3524
632,3525
632,3526
632,3527
632,3528
633,3529
633,3530
633,3531
633,3532
634,3533
634,3534
634,3535
634,3536
635,3537
635,3538
635,3539
635,3540
636,3541
636,3542
636,3543
636,3544
637,3545
637,3546
637,3547
637,3548
638,3549
638,3550
638,3551
638,3552
639,3553
639,3554
639,3555
639,3556
640,3557
640,3558
640,3559
640,3560
641,3561
641,3562
641,3563
641,3564
642,3565
642,3566
642,3567
642,3568
643,3569
643,3570
643,3571
643,3572
644,3573
644,3574
644,3575
644,3576
645,3577
645,3578
645,3579
645,3580
646,3581
646,3582
646,3583
646,3584
647,3585
647,3586
647,3587
647,3588
648,3589
648,3590
648,3591
648,3592
649,3593
649,3594
649,3595
649,3596
650,3597
650,3598
650,3599
650,3600
651,3601
651,3602
651,3603
651,3604
652,3605
652,3606
652,3607
652,3608
653,3609
653,3610
653,3611
653,3612
654,3613
654,3614
654,3615
654,3616
655,3617
655,3618
655,3619
655,3620
656,3621
656,3622
656,3623
656,3624
657,3625
657,3626
657,3627
657,3628
658,3629
658,3630
658,3631
658,3632
659,3633
659,3634
659,3635
659,3636
660,3637
660,3638
660,3639
660,3640
661,3641
661,3642
661,3643
661,3644
662,3645
662,3646
662,3647
662,3648
663,3649
663,3650
663,3651
663,3652
664,3653
664,3654
664,3655
664,3656
665,3657
665,3658
665,3659
665,3660
666,3661
666,3662
666,3663
666,3664
667,3665
667,3666
667,3667
667,3668
668,3669
668,3670
668,3671
668,3672
669,3673
669,3674
669,3675
669,3676
670,3677
670,3678
670,3679
670,3680
671,3681
671,3682
671,3683
671,3684
672,3685
672,3686
672,3687
672,3688
673,3689
673,3690
673,3691
673,3692
674,3693
674,3694
674,3695
674,3696
675,3697
675,3698
675,3699
675,3700
676,3701
676,3702
676,3703
676,3704
677,3705
677,3706
677,3707
677,3708
678,3709
678,3710
678,3711
678,3712
679,3713
679,3714
679,3715
679,3716
680,3717
680,3718
680,3719
680,3720
681,3721
681,3722
681,3723
681,3724
682,3725
682,3726
682,3727
682,3728
683,3729
683,3730
683,3731
683,3732
684,3733
684,3734
684,3735
684,3736
685,3737
685,3738
685,3739
685,3740
686,3741
686,3742
686,3743
686,3744
687,3745
687,3746
687,3747
687,3748
688,3749
688,3750
688,3751
688,3752
689,3753
689,3754
689,3755
689,3756
690,3757
690,3758
690,3759
690,3760
691,3761
691,3762
691,3763
691,3764
692,3765
692,3766
692,3767
692,3768
693,3769
693,3770
693,3771
693,3772
694,3773
694,3774
694,3775
694,3776
695,3777
695,3778
695,3779
695,3780
696,3781
696,3782
696,3783
696,3784
697,3785
697,3786
697,3787
697,3788
698,3789
698,3790
698,3791
698,3792
699,3793
699,3794
699,3795
699,3796
